N	K	Confidence Interval Function	Confidence Interval Function Alpha	Condition	Filtering	Minimum Value	Minimizer	Risk	Elapsed Time
20	3	Fitzpatrick_and_Scott	0.05	ExampleWeightFunction	Weighted	0.9590287731115366	[0.1808693649, 0.6191306351, 0.2]	0.04097122688846344	23.030559301376343
30	3	Fitzpatrick_and_Scott	0.05	ExampleWeightFunction	Weighted	0.9519077398217521	[0.1877472523, 0.4122527477, 0.4]	0.04809226017824786	92.4608986377716
40	3	Fitzpatrick_and_Scott	0.05	ExampleWeightFunction	Weighted	0.9465923987324592	[0.1700512419, 0.6549487581, 0.175]	0.05340760126754085	280.63319277763367
20	3	Fitzpatrick_and_Scott	0.05	ConstantWeightFunction	Weighted	0.9568934425860367	[0.2191306351, 0.2691306351, 0.5117387298]	0.0431065574139633	13.841081142425537
30	3	Fitzpatrick_and_Scott	0.05	ConstantWeightFunction	Weighted	0.9495096365506781	[0.1210805856, 0.4877472523, 0.3911721621]	0.050490363449321896	75.38417530059814
40	3	Fitzpatrick_and_Scott	0.05	ConstantWeightFunction	Weighted	0.943960650308868	[0.2049487581, 0.6450512419, 0.15]	0.056039349691132	210.17166662216187
